loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_plx
272,GJ 876 d,GJ 876,d,1,4,Radial Velocity,2005,0,1.93778,0.020807,2.51,0.224,6.83,0.021,Mass,0.207,,,59,M4 V,3293.74,0.3,0.32,-1.907,4.67517,213.867
273,GJ 876 e,GJ 876,e,1,4,Radial Velocity,2010,0,124.26,0.3343,3.92,0.35,14.6,0.046,Mass,0.055,,,59,M2.5V,3271,0.3,0.32,-1.907,4.67517,213.867
274,GJ 887 b,GJ 887,b,1,2,Radial Velocity,2020,0,9.262,0.068,1.88,0.168,4.2,0.01321,Msini,0,7.95,468,,M1 V,3688,0.47,0.49,-1.434,3.29,303.9
275,GJ 887 c,GJ 887,c,1,2,Radial Velocity,2020,0,21.789,0.12,2.67,0.238,7.6,0.02391,Msini,,2.56,352,,M1 V,3688,0.47,0.49,-1.434,3.29,303.9
276,GJ 9066 b,GJ 9066,b,1,2,Radial Velocity,2020,0,241.883,0.403,6.1,0.544,30.9,0.09722,Msini,0.18,,,,M4.5 V,3305,0.18,0.15,-2.566,4.471,223.635
277,GJ 9066 c,GJ 9066,c,1,2,Radial Velocity,2020,0,767.887,0.87,10,0.892,71.6,0.22528,Msini,0.33,,,,M4.5 V,3305,0.18,0.15,-2.566,4.471,223.635
278,GJ 96 b,GJ 96,b,1,1,Radial Velocity,2018,0,73.94,0.291,4.67,0.417,19.66,0.06186,Msini,0.44,,,,M2,3785,0.58,0.6,-1.052,11.9315,83.7829
279,GJ 9689 b,GJ 9689,b,1,1,Radial Velocity,2020,0,18.27,0.1139,3.07,0.274,9.65,0.03036,Msini,0.29,,453,,M0.5,3836,0.57,0.59,-1.2,30.6203,32.6292
280,GJ 9827 b,GJ 9827,b,1,3,Transit,2017,0,1.2089819,0.0188,1.577,0.141,4.91,0.01545,Mass,0,256,1044,86.07,K6 V,4340,0.6,0.61,-0.942,29.661,33.6855
281,GJ 9827 c,GJ 9827,c,1,3,Transit,2017,0,3.6480957,0.03925,1.241,0.111,0.84,0.00264,Mass,0,59,722,88.19,K6 V,4340,0.6,0.61,-0.942,29.661,33.6855
282,GJ 9827 d,GJ 9827,d,1,3,Transit,2017,0,6.2014698,0.05591,2.022,0.18,4.04,0.01271,Mass,0,29,605,87.443,K6 V,4340,0.6,0.61,-0.942,29.661,33.6855
283,GPX-1 b,GPX-1,b,1,1,Transit,2021,0,1.744579,0.0338,16.477,1.47,6261.21962,19.7,Mass,0,4650,2300,79.9,F2,7000,1.56,1.68,0.727,655.013,1.49895
